1782454613.609308, baseline_finetune, system, setup, start, device=mps, 145215580285708
1782454614.016879, baseline_finetune, model, info, trainable_params=12810, total_params=20190298, 145215987873375
1782454614.016974, baseline_finetune, system, setup, end, 145215987945166
1782454616.759647, baseline_finetune, training_step, run, start, 145218730642041
1782454616.851012, baseline_finetune, training_step, run, end, 145218822013291
1782454616.887971, baseline_finetune, training_step, run, start, 145218858967375
1782454616.976786, baseline_finetune, training_step, run, end, 145218947788833
1782454617.027503, baseline_finetune, training_step, run, start, 145218998500583
1782454617.118951, baseline_finetune, training_step, run, end, 145219089956458
1782454617.151734, baseline_finetune, training_step, run, start, 145219122729041
1782454617.243455, baseline_finetune, training_step, run, end, 145219214460625
1782454617.285481, baseline_finetune, training_step, run, start, 145219256480666
1782454617.377134, baseline_finetune, training_step, run, end, 145219348141458
1782454617.442322, baseline_finetune, training_step, run, start, 145219413320041
1782454617.533764, baseline_finetune, training_step, run, end, 145219504770875
1782454617.568246, baseline_finetune, training_step, run, start, 145219539242166
1782454617.660256, baseline_finetune, training_step, run, end, 145219631263375
1782454617.693232, baseline_finetune, training_step, run, start, 145219664229333
1782454617.784451, baseline_finetune, training_step, run, end, 145219755459250
1782454617.816542, baseline_finetune, training_step, run, start, 145219787539500
1782454617.908128, baseline_finetune, training_step, run, end, 145219879136875
1782454617.936847, baseline_finetune, training_step, run, start, 145219907852333
1782454618.026020, baseline_finetune, training_step, run, end, 145219997024708
1782454618.062427, baseline_finetune, training_step, run, start, 145220033427791
1782454618.151740, baseline_finetune, training_step, run, end, 145220122744583
1782454618.185405, baseline_finetune, training_step, run, start, 145220156403416
1782454618.275732, baseline_finetune, training_step, run, end, 145220246738041
1782454618.309061, baseline_finetune, training_step, run, start, 145220280058958
1782454618.399984, baseline_finetune, training_step, run, end, 145220370991416
1782454618.445886, baseline_finetune, training_step, run, start, 145220416886416
1782454618.544566, baseline_finetune, training_step, run, end, 145220515582416
1782454618.579801, baseline_finetune, training_step, run, start, 145220550803750
1782454618.670005, baseline_finetune, training_step, run, end, 145220641014541
1782454618.702320, baseline_finetune, training_step, run, start, 145220673324875
1782454618.792481, baseline_finetune, training_step, run, end, 145220763487375
1782454618.830142, baseline_finetune, training_step, run, start, 145220801146875
1782454618.920641, baseline_finetune, training_step, run, end, 145220891654375
1782454618.951711, baseline_finetune, training_step, run, start, 145220922715208
1782454619.041936, baseline_finetune, training_step, run, end, 145221012952083
1782454619.073409, baseline_finetune, training_step, run, start, 145221044413750
1782454619.163420, baseline_finetune, training_step, run, end, 145221134433375
1782454619.199769, baseline_finetune, training_step, run, start, 145221170774625
1782454619.289551, baseline_finetune, training_step, run, end, 145221260563458
1782454619.322324, baseline_finetune, training_step, run, start, 145221293327500
1782454619.414768, baseline_finetune, training_step, run, end, 145221385782083
1782454619.490556, baseline_finetune, training_step, run, start, 145221461566291
1782454619.582038, baseline_finetune, training_step, run, end, 145221553057958
1782454619.613029, baseline_finetune, training_step, run, start, 145221584034625
1782454619.704263, baseline_finetune, training_step, run, end, 145221675277875
1782454619.738809, baseline_finetune, training_step, run, start, 145221709814666
1782454619.829612, baseline_finetune, training_step, run, end, 145221800631708
1782454619.862806, baseline_finetune, training_step, run, start, 145221833816666
1782454619.955495, baseline_finetune, training_step, run, end, 145221926513458
1782454619.994595, baseline_finetune, training_step, run, start, 145221965602208
1782454620.084658, baseline_finetune, training_step, run, end, 145222055670375
1782454620.121391, baseline_finetune, training_step, run, start, 145222092399166
1782454620.211532, baseline_finetune, training_step, run, end, 145222182547083
1782454620.244602, baseline_finetune, training_step, run, start, 145222215610041
1782454620.334695, baseline_finetune, training_step, run, end, 145222305710208
1782454620.366371, baseline_finetune, training_step, run, start, 145222337380916
1782454620.456451, baseline_finetune, training_step, run, end, 145222427467916
1782454620.491168, baseline_finetune, training_step, run, start, 145222462178458
1782454620.581783, baseline_finetune, training_step, run, end, 145222552800125
1782454620.622742, baseline_finetune, training_step, run, start, 145222593753500
1782454620.713948, baseline_finetune, training_step, run, end, 145222684966000
1782454620.751716, baseline_finetune, training_step, run, start, 145222722733250
1782454620.842622, baseline_finetune, training_step, run, end, 145222813640416
1782454620.876854, baseline_finetune, training_step, run, start, 145222847864166
1782454620.967467, baseline_finetune, training_step, run, end, 145222938483750
1782454621.005059, baseline_finetune, training_step, run, start, 145222976073708
1782454621.096769, baseline_finetune, training_step, run, end, 145223067789458
1782454621.129276, baseline_finetune, training_step, run, start, 145223100295166
1782454621.220629, baseline_finetune, training_step, run, end, 145223191646541
1782454621.255462, baseline_finetune, training_step, run, start, 145223226475458
1782454621.345392, baseline_finetune, training_step, run, end, 145223316419791
1782454621.376526, baseline_finetune, training_step, run, start, 145223347537375
1782454621.466816, baseline_finetune, training_step, run, end, 145223437836625
1782454621.511092, baseline_finetune, training_step, run, start, 145223482108708
1782454621.600219, baseline_finetune, training_step, run, end, 145223571237083
1782454621.638737, baseline_finetune, training_step, run, start, 145223609751791
1782454621.728292, baseline_finetune, training_step, run, end, 145223699318333
1782454621.763225, baseline_finetune, training_step, run, start, 145223734240166
1782454621.852865, baseline_finetune, training_step, run, end, 145223823888500
1782454621.889746, baseline_finetune, training_step, run, start, 145223860764250
1782454621.979629, baseline_finetune, training_step, run, end, 145223950650750
1782454622.016396, baseline_finetune, training_step, run, start, 145223987414083
1782454622.107289, baseline_finetune, training_step, run, end, 145224078314708
1782454622.143719, baseline_finetune, training_step, run, start, 145224114736000
1782454622.234471, baseline_finetune, training_step, run, end, 145224205494000
1782454622.273414, baseline_finetune, training_step, run, start, 145224244433833
1782454622.364429, baseline_finetune, training_step, run, end, 145224335451541
1782454622.398173, baseline_finetune, training_step, run, start, 145224369198416
1782454622.490464, baseline_finetune, training_step, run, end, 145224461496083
1782454622.527301, baseline_finetune, training_step, run, start, 145224498321041
1782454622.618939, baseline_finetune, training_step, run, end, 145224589972708
1782454622.652138, baseline_finetune, training_step, run, start, 145224623158500
1782454622.744080, baseline_finetune, training_step, run, end, 145224715113875
1782454622.814268, baseline_finetune, training_step, run, start, 145224785289291
1782454622.906166, baseline_finetune, training_step, run, end, 145224877203958
1782454622.940677, baseline_finetune, training_step, run, start, 145224911700166
1782454623.032422, baseline_finetune, training_step, run, end, 145225003456583
1782454623.069994, baseline_finetune, training_step, run, start, 145225041017791
1782454623.161845, baseline_finetune, training_step, run, end, 145225132879791
1782454623.194049, baseline_finetune, training_step, run, start, 145225165072166
1782454623.286508, baseline_finetune, training_step, run, end, 145225257542833
1782454623.324825, baseline_finetune, training_step, run, start, 145225295848583
1782454623.415419, baseline_finetune, training_step, run, end, 145225386445458
1782454623.455270, baseline_finetune, training_step, run, start, 145225426290500
1782454623.547874, baseline_finetune, training_step, run, end, 145225518904041
1782454623.586318, baseline_finetune, training_step, run, start, 145225557342916
1782454623.678181, baseline_finetune, training_step, run, end, 145225649214000
1782454623.755904, baseline_finetune, training_step, run, start, 145225726929875
1782454623.851874, baseline_finetune, training_step, run, end, 145225822905041
1782454623.920997, baseline_finetune, training_step, run, start, 145225892025125
1782454624.018403, baseline_finetune, training_step, run, end, 145225989438083
1782454624.057625, baseline_finetune, training_step, run, start, 145226028652541
1782454624.147645, baseline_finetune, training_step, run, end, 145226118683125
1782454624.186408, baseline_finetune, training_step, run, start, 145226157434583
1782454624.277244, baseline_finetune, training_step, run, end, 145226248280208
1782454624.311555, baseline_finetune, training_step, run, start, 145226282583750
1782454624.403018, baseline_finetune, training_step, run, end, 145226374050666
1782454624.441331, baseline_finetune, training_step, run, start, 145226412358333
1782454624.534019, baseline_finetune, training_step, run, end, 145226505062208
1782454624.576532, baseline_finetune, training_step, run, start, 145226547569291
1782454624.670601, baseline_finetune, training_step, run, end, 145226641638750
1782454624.704263, baseline_finetune, training_step, run, start, 145226675295291
1782454624.796680, baseline_finetune, training_step, run, end, 145226767719041
1782454624.837765, baseline_finetune, training_step, run, start, 145226808800291
1782454624.928002, baseline_finetune, training_step, run, end, 145226899066541
1782454624.964815, baseline_finetune, training_step, run, start, 145226935847083
1782454625.056927, baseline_finetune, training_step, run, end, 145227027970166
1782454625.093358, baseline_finetune, training_step, run, start, 145227064387291
1782454625.183395, baseline_finetune, training_step, run, end, 145227154433333
1782454625.222953, baseline_finetune, training_step, run, start, 145227193984250
1782454625.313638, baseline_finetune, training_step, run, end, 145227284675416
1782454625.359613, baseline_finetune, training_step, run, start, 145227330644458
1782454625.459006, baseline_finetune, training_step, run, end, 145227430040625
1782454625.508580, baseline_finetune, training_step, run, start, 145227479612458
1782454625.598638, baseline_finetune, training_step, run, end, 145227569675958
1782454625.638990, baseline_finetune, training_step, run, start, 145227610026125
1782454625.730649, baseline_finetune, training_step, run, end, 145227701689583
1782454625.766689, baseline_finetune, training_step, run, start, 145227737717791
1782454625.857616, baseline_finetune, training_step, run, end, 145227828659166
1782454625.893596, baseline_finetune, training_step, run, start, 145227864629500
1782454625.983492, baseline_finetune, training_step, run, end, 145227954527250
1782454626.030016, baseline_finetune, training_step, run, start, 145228001063333
1782454626.124946, baseline_finetune, training_step, run, end, 145228095995666
1782454626.181955, baseline_finetune, training_step, run, start, 145228153000750
1782454626.273870, baseline_finetune, training_step, run, end, 145228244940166
1782454626.308210, baseline_finetune, training_step, run, start, 145228279245208
1782454626.399632, baseline_finetune, training_step, run, end, 145228370673041
1782454626.436922, baseline_finetune, training_step, run, start, 145228407965625
1782454626.527048, baseline_finetune, training_step, run, end, 145228498091041
1782454626.563262, baseline_finetune, training_step, run, start, 145228534306125
1782454626.655122, baseline_finetune, training_step, run, end, 145228626167958
1782454626.709926, baseline_finetune, training_step, run, start, 145228680963791
1782454626.799704, baseline_finetune, training_step, run, end, 145228770750666
1782454626.834012, baseline_finetune, training_step, run, start, 145228805049375
1782454626.924683, baseline_finetune, training_step, run, end, 145228895731083
1782454626.959998, baseline_finetune, training_step, run, start, 145228931035291
1782454627.051131, baseline_finetune, training_step, run, end, 145229022173833
1782454627.090219, baseline_finetune, training_step, run, start, 145229061259875
1782454627.180760, baseline_finetune, training_step, run, end, 145229151804166
1782454627.216229, baseline_finetune, training_step, run, start, 145229187274458
1782454627.306216, baseline_finetune, training_step, run, end, 145229277268375
1782454627.343561, baseline_finetune, training_step, run, start, 145229314600416
1782454627.433599, baseline_finetune, training_step, run, end, 145229404643083
1782454627.465823, baseline_finetune, training_step, run, start, 145229436865625
1782454627.554791, baseline_finetune, training_step, run, end, 145229525836458
1782454627.596062, baseline_finetune, training_step, run, start, 145229567101291
1782454627.685503, baseline_finetune, training_step, run, end, 145229656549041
1782454627.721609, baseline_finetune, training_step, run, start, 145229692648375
1782454627.811614, baseline_finetune, training_step, run, end, 145229782660041
1782454627.846489, baseline_finetune, training_step, run, start, 145229817526916
1782454627.935740, baseline_finetune, training_step, run, end, 145229906784666
1782454627.968859, baseline_finetune, training_step, run, start, 145229939900958
1782454628.061056, baseline_finetune, training_step, run, end, 145230032105750
1782454628.094304, baseline_finetune, training_step, run, start, 145230065343208
1782454628.184365, baseline_finetune, training_step, run, end, 145230155411791
1782454628.221017, baseline_finetune, training_step, run, start, 145230192059625
1782454628.312395, baseline_finetune, training_step, run, end, 145230283443333
1782454628.352800, baseline_finetune, training_step, run, start, 145230323844208
1782454628.443459, baseline_finetune, training_step, run, end, 145230414513875
1782454628.482127, baseline_finetune, training_step, run, start, 145230453173583
1782454628.573734, baseline_finetune, training_step, run, end, 145230544789916
1782454628.612674, baseline_finetune, training_step, run, start, 145230583723041
1782454628.704524, baseline_finetune, training_step, run, end, 145230675582666
1782454628.756825, baseline_finetune, training_step, run, start, 145230727871625
1782454628.849415, baseline_finetune, training_step, run, end, 145230820469500
1782454628.889416, baseline_finetune, training_step, run, start, 145230860462541
1782454628.980864, baseline_finetune, training_step, run, end, 145230951926625
1782454629.022378, baseline_finetune, training_step, run, start, 145230993436416
1782454629.114962, baseline_finetune, training_step, run, end, 145231086020791
1782454629.149296, baseline_finetune, training_step, run, start, 145231120347291
1782454629.242474, baseline_finetune, training_step, run, end, 145231213539083
1782454629.277605, baseline_finetune, training_step, run, start, 145231248652166
1782454629.370215, baseline_finetune, training_step, run, end, 145231341272250
1782454629.404778, baseline_finetune, training_step, run, start, 145231375824166
1782454629.495765, baseline_finetune, training_step, run, end, 145231466827625
1782454629.546096, baseline_finetune, training_step, run, start, 145231517143416
1782454629.643606, baseline_finetune, training_step, run, end, 145231614666291
1782454629.680981, baseline_finetune, training_step, run, start, 145231652032583
1782454629.771887, baseline_finetune, training_step, run, end, 145231742949166
1782454629.808588, baseline_finetune, training_step, run, start, 145231779633875
1782454629.899947, baseline_finetune, training_step, run, end, 145231871002958
1782454630.027721, baseline_finetune, training_step, run, start, 145231998774833
1782454630.126349, baseline_finetune, training_step, run, end, 145232097414166
1782454630.162819, baseline_finetune, training_step, run, start, 145232133870416
1782454630.253647, baseline_finetune, training_step, run, end, 145232224702333
1782454630.292043, baseline_finetune, training_step, run, start, 145232263093750
1782454630.382405, baseline_finetune, training_step, run, end, 145232353465958
1782454630.418449, baseline_finetune, training_step, run, start, 145232389499916
1782454630.509485, baseline_finetune, training_step, run, end, 145232480541750
1782454630.545459, baseline_finetune, training_step, run, start, 145232516512625
1782454630.635553, baseline_finetune, training_step, run, end, 145232606614625
1782454630.672609, baseline_finetune, training_step, run, start, 145232643661958
1782454630.762768, baseline_finetune, training_step, run, end, 145232733826291
1782454630.797775, baseline_finetune, training_step, run, start, 145232768825083
1782454630.891205, baseline_finetune, training_step, run, end, 145232862271208
1782454630.926900, baseline_finetune, training_step, run, start, 145232897952958
1782454631.017994, baseline_finetune, training_step, run, end, 145232989054250
1782454631.053835, baseline_finetune, training_step, run, start, 145233024888666
1782454631.146121, baseline_finetune, training_step, run, end, 145233117185458
1782454631.180455, baseline_finetune, training_step, run, start, 145233151513916
1782454631.272491, baseline_finetune, training_step, run, end, 145233243559458
1782454631.306764, baseline_finetune, training_step, run, start, 145233277820958
1782454631.397314, baseline_finetune, training_step, run, end, 145233368375541
1782454631.432920, baseline_finetune, training_step, run, start, 145233403975208
1782454631.525069, baseline_finetune, training_step, run, end, 145233496150833
1782454631.560144, baseline_finetune, training_step, run, start, 145233531206875
1782454631.653208, baseline_finetune, training_step, run, end, 145233624280166
1782454631.696816, baseline_finetune, training_step, run, start, 145233667878875
1782454631.786898, baseline_finetune, training_step, run, end, 145233757963708
1782454631.829156, baseline_finetune, training_step, run, start, 145233800215166
1782454631.919963, baseline_finetune, training_step, run, end, 145233891034583
1782454631.958529, baseline_finetune, training_step, run, start, 145233929595166
1782454632.049627, baseline_finetune, training_step, run, end, 145234020700250
1782454632.082943, baseline_finetune, training_step, run, start, 145234054000166
1782454632.174111, baseline_finetune, training_step, run, end, 145234145183791
1782454632.206766, baseline_finetune, training_step, run, start, 145234177827666
1782454632.296927, baseline_finetune, training_step, run, end, 145234267992916
1782454632.333726, baseline_finetune, training_step, run, start, 145234304792750
1782454632.425200, baseline_finetune, training_step, run, end, 145234396267041
1782454632.464345, baseline_finetune, training_step, run, start, 145234435407750
1782454632.554275, baseline_finetune, training_step, run, end, 145234525344250
1782454632.597022, baseline_finetune, training_step, run, start, 145234568092000
1782454632.688407, baseline_finetune, training_step, run, end, 145234659478833
1782454632.726786, baseline_finetune, training_step, run, start, 145234697847625
1782454632.817026, baseline_finetune, training_step, run, end, 145234788101750
1782454632.858546, baseline_finetune, training_step, run, start, 145234829611416
1782454632.950034, baseline_finetune, training_step, run, end, 145234921113125
1782454632.989195, baseline_finetune, training_step, run, start, 145234960259583
1782454633.079956, baseline_finetune, training_step, run, end, 145235051025250
1782454633.113539, baseline_finetune, training_step, run, start, 145235084604375
1782454633.203997, baseline_finetune, training_step, run, end, 145235175070666
1782454633.243050, baseline_finetune, training_step, run, start, 145235214116958
1782454633.333990, baseline_finetune, training_step, run, end, 145235305059875
1782454633.378191, baseline_finetune, training_step, run, start, 145235349259250
1782454633.469371, baseline_finetune, training_step, run, end, 145235440448250
1782454633.505708, baseline_finetune, training_step, run, start, 145235476774500
1782454633.596318, baseline_finetune, training_step, run, end, 145235567392458
1782454633.635037, baseline_finetune, training_step, run, start, 145235606107000
1782454633.725928, baseline_finetune, training_step, run, end, 145235696999291
1782454633.765561, baseline_finetune, training_step, run, start, 145235736626000
1782454633.856228, baseline_finetune, training_step, run, end, 145235827303208
1782454633.944232, baseline_finetune, training_step, run, start, 145235915298833
1782454634.039808, baseline_finetune, training_step, run, end, 145236010889833
1782454634.080066, baseline_finetune, training_step, run, start, 145236051134833
1782454634.169592, baseline_finetune, training_step, run, end, 145236140673666
1782454634.223728, baseline_finetune, training_step, run, start, 145236194802916
1782454634.315455, baseline_finetune, training_step, run, end, 145236286527791
1782454634.365749, baseline_finetune, training_step, run, start, 145236336818000
1782454634.456973, baseline_finetune, training_step, run, end, 145236428056166
1782454634.488118, baseline_finetune, training_step, run, start, 145236459188500
1782454634.577727, baseline_finetune, training_step, run, end, 145236548804625
1782454634.616872, baseline_finetune, training_step, run, start, 145236587951333
1782454634.708452, baseline_finetune, training_step, run, end, 145236679535625
1782454634.746484, baseline_finetune, training_step, run, start, 145236717554708
1782454634.836402, baseline_finetune, training_step, run, end, 145236807486666
1782454634.872795, baseline_finetune, training_step, run, start, 145236843865375
1782454634.965679, baseline_finetune, training_step, run, end, 145236936753208
1782454634.999498, baseline_finetune, training_step, run, start, 145236970567833
1782454635.090826, baseline_finetune, training_step, run, end, 145237061902625
1782454635.128808, baseline_finetune, training_step, run, start, 145237099876458
1782454635.218571, baseline_finetune, training_step, run, end, 145237189647833
1782454635.253707, baseline_finetune, training_step, run, start, 145237224782875
1782454635.344884, baseline_finetune, training_step, run, end, 145237315966125
1782454635.378922, baseline_finetune, training_step, run, start, 145237349998750
1782454635.470385, baseline_finetune, training_step, run, end, 145237441462083
1782454635.506686, baseline_finetune, training_step, run, start, 145237477761750
1782454635.598562, baseline_finetune, training_step, run, end, 145237569645375
1782454635.631533, baseline_finetune, training_step, run, start, 145237602603875
1782454635.721824, baseline_finetune, training_step, run, end, 145237692902708
1782454635.761070, baseline_finetune, training_step, run, start, 145237732144458
1782454635.851143, baseline_finetune, training_step, run, end, 145237822219750
1782454635.889787, baseline_finetune, training_step, run, start, 145237860864041
1782454635.979651, baseline_finetune, training_step, run, end, 145237950731500
1782454636.020578, baseline_finetune, training_step, run, start, 145237991656375
1782454636.110726, baseline_finetune, training_step, run, end, 145238081809916
1782454636.147679, baseline_finetune, training_step, run, start, 145238118759000
1782454636.239059, baseline_finetune, training_step, run, end, 145238210143291
1782454636.274300, baseline_finetune, training_step, run, start, 145238245379083
1782454636.364916, baseline_finetune, training_step, run, end, 145238336001416
1782454636.403234, baseline_finetune, training_step, run, start, 145238374310833
1782454636.494373, baseline_finetune, training_step, run, end, 145238465458375
1782454636.533781, baseline_finetune, training_step, run, start, 145238504859166
1782454636.623406, baseline_finetune, training_step, run, end, 145238594489916
1782454636.658567, baseline_finetune, training_step, run, start, 145238629642916
1782454636.750020, baseline_finetune, training_step, run, end, 145238721107791
1782454636.790566, baseline_finetune, training_step, run, start, 145238761641833
1782454636.880001, baseline_finetune, training_step, run, end, 145238851084541
1782454636.920133, baseline_finetune, training_step, run, start, 145238891210083
1782454637.009206, baseline_finetune, training_step, run, end, 145238980291458
1782454637.045725, baseline_finetune, training_step, run, start, 145239016805416
1782454637.136072, baseline_finetune, training_step, run, end, 145239107169208
1782454637.175063, baseline_finetune, training_step, run, start, 145239146144666
1782454637.266369, baseline_finetune, training_step, run, end, 145239237461416
1782454637.301280, baseline_finetune, training_step, run, start, 145239272360666
1782454637.391403, baseline_finetune, training_step, run, end, 145239362491875
1782454637.429434, baseline_finetune, training_step, run, start, 145239400516833
1782454637.521227, baseline_finetune, training_step, run, end, 145239492318208
1782454637.560820, baseline_finetune, training_step, run, start, 145239531900458
1782454637.650458, baseline_finetune, training_step, run, end, 145239621556166
1782454637.687523, baseline_finetune, training_step, run, start, 145239658609958
1782454637.779145, baseline_finetune, training_step, run, end, 145239750246541
1782454637.818878, baseline_finetune, training_step, run, start, 145239789967375
1782454637.909408, baseline_finetune, training_step, run, end, 145239880499583
1782454637.949480, baseline_finetune, training_step, run, start, 145239920569583
1782454638.040577, baseline_finetune, training_step, run, end, 145240011675666
1782454638.077126, baseline_finetune, training_step, run, start, 145240048213583
1782454638.167960, baseline_finetune, training_step, run, end, 145240139049000
1782454638.210247, baseline_finetune, training_step, run, start, 145240181332375
1782454638.303199, baseline_finetune, training_step, run, end, 145240274306541
1782454638.341407, baseline_finetune, training_step, run, start, 145240312493166
1782454638.432017, baseline_finetune, training_step, run, end, 145240403106958
1782454638.473040, baseline_finetune, training_step, run, start, 145240444127000
1782454638.564739, baseline_finetune, training_step, run, end, 145240535829083
1782454638.599639, baseline_finetune, training_step, run, start, 145240570724416
1782454638.689471, baseline_finetune, training_step, run, end, 145240660562000
1782454638.729741, baseline_finetune, training_step, run, start, 145240700827500
1782454638.820659, baseline_finetune, training_step, run, end, 145240791754791
1782454638.858679, baseline_finetune, training_step, run, start, 145240829772500
1782454638.949280, baseline_finetune, training_step, run, end, 145240920388291
1782454638.986651, baseline_finetune, training_step, run, start, 145240957737625
1782454639.077675, baseline_finetune, training_step, run, end, 145241048767416
1782454639.113716, baseline_finetune, training_step, run, start, 145241084815416
1782454639.205485, baseline_finetune, training_step, run, end, 145241176586958
1782454639.243122, baseline_finetune, training_step, run, start, 145241214212166
1782454639.334094, baseline_finetune, training_step, run, end, 145241305191458
1782454639.373472, baseline_finetune, training_step, run, start, 145241344561916
1782454639.465108, baseline_finetune, training_step, run, end, 145241436210708
1782454639.504017, baseline_finetune, training_step, run, start, 145241475105833
1782454639.595383, baseline_finetune, training_step, run, end, 145241566481583
1782454639.630397, baseline_finetune, training_step, run, start, 145241601490833
1782454639.722062, baseline_finetune, training_step, run, end, 145241693191625
1782454639.762675, baseline_finetune, training_step, run, start, 145241733770291
1782454639.853433, baseline_finetune, training_step, run, end, 145241824545458
1782454639.885668, baseline_finetune, training_step, run, start, 145241856761083
1782454639.978698, baseline_finetune, training_step, run, end, 145241949800708
1782454640.010342, baseline_finetune, training_step, run, start, 145241981430333
1782454640.101735, baseline_finetune, training_step, run, end, 145242072833875
1782454640.137565, baseline_finetune, training_step, run, start, 145242108655208
1782454640.229689, baseline_finetune, training_step, run, end, 145242200788166
1782454640.267286, baseline_finetune, training_step, run, start, 145242238375916
1782454640.358699, baseline_finetune, training_step, run, end, 145242329801541
1782454640.394084, baseline_finetune, training_step, run, start, 145242365179416
1782454640.483286, baseline_finetune, training_step, run, end, 145242454380333
1782454640.522315, baseline_finetune, training_step, run, start, 145242493415208
1782454640.611513, baseline_finetune, training_step, run, end, 145242582638708
1782454640.648201, baseline_finetune, training_step, run, start, 145242619295000
1782454640.738184, baseline_finetune, training_step, run, end, 145242709286791
1782454640.772229, baseline_finetune, training_step, run, start, 145242743322000
1782454640.862486, baseline_finetune, training_step, run, end, 145242833590750
1782454640.894793, baseline_finetune, training_step, run, start, 145242865885958
1782454640.986678, baseline_finetune, training_step, run, end, 145242957779416
1782454641.016895, baseline_finetune, training_step, run, start, 145242987988375
1782454641.108593, baseline_finetune, training_step, run, end, 145243079703250
1782454641.144694, baseline_finetune, training_step, run, start, 145243115790166
1782454641.235574, baseline_finetune, training_step, run, end, 145243206679625
1782454641.271329, baseline_finetune, training_step, run, start, 145243242423125
1782454641.362109, baseline_finetune, training_step, run, end, 145243333210458
1782454641.398459, baseline_finetune, training_step, run, start, 145243369553375
1782454641.489603, baseline_finetune, training_step, run, end, 145243460706625
1782454641.525467, baseline_finetune, training_step, run, start, 145243496566333
1782454641.617283, baseline_finetune, training_step, run, end, 145243588386375
1782454641.651142, baseline_finetune, training_step, run, start, 145243622241750
1782454641.741432, baseline_finetune, training_step, run, end, 145243712539416
1782454641.774906, baseline_finetune, training_step, run, start, 145243746004416
1782454641.865222, baseline_finetune, training_step, run, end, 145243836335583
1782454641.900843, baseline_finetune, training_step, run, start, 145243871941208
1782454641.991498, baseline_finetune, training_step, run, end, 145243962607208
1782454642.026610, baseline_finetune, training_step, run, start, 145243997708750
1782454642.118233, baseline_finetune, training_step, run, end, 145244089344083
1782454642.153768, baseline_finetune, training_step, run, start, 145244124868750
1782454642.243912, baseline_finetune, training_step, run, end, 145244215020416
1782454642.282609, baseline_finetune, training_step, run, start, 145244253712666
1782454642.373747, baseline_finetune, training_step, run, end, 145244344853291
1782454642.412369, baseline_finetune, training_step, run, start, 145244383476333
1782454642.502807, baseline_finetune, training_step, run, end, 145244473921000
1782454642.540331, baseline_finetune, training_step, run, start, 145244511433166
1782454642.630243, baseline_finetune, training_step, run, end, 145244601353791
1782454642.667783, baseline_finetune, training_step, run, start, 145244638884458
1782454642.757881, baseline_finetune, training_step, run, end, 145244729000541
1782454642.791435, baseline_finetune, training_step, run, start, 145244762536166
1782454642.881869, baseline_finetune, training_step, run, end, 145244852979291
1782454642.919557, baseline_finetune, training_step, run, start, 145244890659041
1782454643.010101, baseline_finetune, training_step, run, end, 145244981210041
1782454643.050830, baseline_finetune, training_step, run, start, 145245021933958
1782454643.141423, baseline_finetune, training_step, run, end, 145245112534250
1782454643.176148, baseline_finetune, training_step, run, start, 145245147249875
